0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
213,38028.17
243,32098.77
298,24328.86
29,342758.62
0,-1
0,-1
0,-1
0,-1
0,-1
343,19825.08
382,16780.11
460,12239.13
464,12047.41
409,15012.23
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
0,-1
35,282285.71
172,49476.75
221,36289.59
86,108953.5
0,-1
0,-1
68,140441.17
191,43560.21
163,52760.73
62,155000
0,-1
0,-1
34,290882.34
49,198775.51
120,75250.01
0,-1
0,-1
0,-1
123,73170.73
293,24914.68
15,672000.06
0,-1
0,-1
184,45597.83
345,19652.18
177,47796.61
0,-1
0,-1
263,28897.34
365,18027.4
,
0,-1
0,-1
254,30275.59
307,23322.48
0,-1
0,-1
0,-1
19,528421.06
284,26021.13
123,73170.73
0,-1
0,-1
34,290882.34
277,26931.41
316,22373.42
44,222500
0,-1
47,207659.56
486,11049.38
493,10750.51
0,-1
0,-1
0,-1
237,33164.56
419,14415.28
356,18735.96
0,-1
0,-1
195,42461.54
394,15964.47
480,11312.5
38,259210.53
0,-1
326,21380.37
543,8839.78
450,12733.33
0,-1
0,-1
0,-1
418,14473.68
557,8366.25
366,17950.82
0,-1
0,-1
377,17135.28
555,8432.43
417,14532.37
0,-1
0,-1
185,45297.3
496,10625
253,30434.78
0,-1
0,-1
354,18898.31
412,14830.1
0,-1
0,-1
0,-1
448,12834.82
432,13680.56
575,7791.3
265,28603.78
0,-1
0,-1
0,-1
0,-1
