40,245749.98
275,27200
299,24214.05
335,20537.32
128,69921.88
91,102417.59
146,60068.5
374,17352.94
141,62553.19
8,1268750
239,32803.35
478,11401.67
427,13957.85
223,35874.44
39,252307.7
171,49824.56
314,22579.62
302,23874.17
261,29195.41
256,29960.94
62,155000
192,43281.25
458,12336.24
44,222500
320,21968.75
232,34094.83
120,75250.01
394,15964.47
421,14299.29
267,28314.61
231,34285.71
243,32098.77
368,17798.91
340,20088.24
441,13197.28
112,81339.28
384,16640.63
415,14650.6
396,15833.33
103,89320.39
499,10501
107,85607.49
127,70551.18
245,31755.1
197,41928.93
64,149843.75
77,122857.14
307,23322.48
412,14830.1
220,36500
116,78189.66
366,17950.82
315,22476.19
526,9448.67
283,26148.41
34,290882.34
53,183018.87
468,11858.98
554,8465.7
348,19396.55
434,13571.43
431,13735.5
502,10378.48
253,30434.78
309,23106.8
461,12190.89
443,13092.55
339,20176.99
250,30920
544,8805.15
119,75966.39
52,186730.76
376,17207.45
496,10625
319,22068.97
426,14014.08
33,300000
322,21770.19
269,28029.74
545,8770.64
88,106250
226,35265.48
78,121153.85
32,309687.5
495,10666.67
343,19825.08
440,13250
310,23000
198,41666.67
130,68692.31
352,19062.5
397,15768.26
555,8432.43
465,12000
45,217333.32
156,55576.92
219,36712.33
105,87428.57
63,152380.93
512,9980.47
560,8267.86
579,7668.39
262,29045.8
159,54339.62
217,37142.86
448,12834.82
559,8300.54
387,16434.11
385,16571.43
69,138260.87
357,18655.46
474,11582.28
472,11673.73
643,5909.8
313,22683.71
467,11905.78
476,11491.6
597,7135.68
731,3994.53
717,4267.78
650,5738.46
683,4978.04
542,8874.54
147,59591.84
590,7338.98
674,5178.04
177,47796.61
531,9265.54
639,6009.39
451,12682.93
484,11136.37
30,331000.03
425,14070.59
101,91287.13
505,10257.43
732,3975.41
833,2280.91
814,2567.57
610,6770.49
864,1840.28
914,1192.56
928,1023.71
903,1328.9
270,27888.89
865,1826.59
930,1000
934,952.89
909,1254.13
606,6881.19
244,31926.23
324,21574.07
416,14591.35
464,12047.41
118,76694.92
189,44126.98
19,528421.06
113,80530.97
84,111785.72
188,44414.89
175,48457.14
68,140441.17
121,74545.46
66,145000
203,40394.08
238,32983.19
106,86509.44
212,38254.72
402,15447.76
345,19652.18
381,16850.39
360,18416.67
433,13625.87
331,20906.34
450,12733.33
90,103666.67
185,45297.3
111,82162.17
149,58657.72
35,282285.71
330,21000
80,117875
264,28750
205,39902.44
333,20720.72
54,179444.45
134,66343.29
196,42193.88
166,51626.5
392,16096.94
375,17280
61,157704.9
209,38947.37
73,130137
429,13846.15
627,6315.79
571,7915.94
452,12632.74
585,7487.18
162,53148.14
12,842500
235,33531.91
248,31250
279,26666.67
369,17723.58
228,34868.42
191,43560.21
303,23762.38
60,160500.01
241,32448.14
